Timestamp,Model,Request tokens,Response tokens,Total tokens,Log Type
33111,ChatGPT,1737,300,2037,Conversation log
33206,ChatGPT,22,416,438,Conversation log
33312,ChatGPT,111,1158,1269,Conversation log
33313,ChatGPT,100,104,204,Conversation log
33324,ChatGPT,1416,586,2002,Conversation log
33371,ChatGPT,39,1238,1277,Conversation log
33407,ChatGPT,22,287,309,Conversation log
33411,ChatGPT,13,4,17,Conversation log
33413,ChatGPT,405,256,661,Conversation log
33437,ChatGPT,38,19,57,Conversation log
33454,ChatGPT,708,44,752,Conversation log
33481,ChatGPT,963,109,1072,Conversation log
33509,ChatGPT,1276,266,1542,Conversation log
33510,ChatGPT,1065,524,1589,Conversation log
33527,ChatGPT,271,54,325,Conversation log
33581,ChatGPT,1314,1903,3217,Conversation log
33602,ChatGPT,337,356,693,Conversation log
33632,ChatGPT,123,261,384,Conversation log
33632,ChatGPT,387,58,445,Conversation log
33637,ChatGPT,102,36,138,Conversation log
33696,ChatGPT,854,350,1204,Conversation log
33747,ChatGPT,522,65,587,Conversation log
33784,ChatGPT,916,484,1400,Conversation log
33810,ChatGPT,603,6,609,Conversation log
33850,ChatGPT,628,495,1123,Conversation log
33866,ChatGPT,31,26,57,Conversation log
34015,ChatGPT,16,421,437,Conversation log
34016,ChatGPT,1640,664,2304,Conversation log
34035,ChatGPT,1232,438,1670,Conversation log
34050,ChatGPT,489,92,581,Conversation log
34068,ChatGPT,40,1092,1132,Conversation log
34069,ChatGPT,461,496,957,Conversation log
34076,ChatGPT,362,155,517,Conversation log
34087,ChatGPT,149,3,152,Conversation log
34100,ChatGPT,1540,35,1575,Conversation log
34102,GPT-4,974,513,1487,Conversation log
34105,ChatGPT,541,201,742,Conversation log
34117,ChatGPT,954,51,1005,Conversation log
34126,ChatGPT,930,92,1022,Conversation log
34129,ChatGPT,34,15,49,Conversation log
34139,ChatGPT,1169,2019,3188,Conversation log
34146,GPT-4,1512,368,1880,Conversation log
34173,ChatGPT,1994,570,2564,Conversation log
34173,ChatGPT,489,338,827,Conversation log
34193,ChatGPT,72,19,91,Conversation log
34246,ChatGPT,1692,401,2093,Conversation log
34257,ChatGPT,849,5,854,Conversation log
34271,ChatGPT,490,27,517,Conversation log
34273,ChatGPT,205,144,349,Conversation log
34278,ChatGPT,1390,260,1650,Conversation log
34291,ChatGPT,547,302,849,Conversation log
34294,GPT-4,32,262,294,Conversation log
34320,ChatGPT,1021,335,1356,Conversation log
34323,ChatGPT,122,376,498,Conversation log
34347,ChatGPT,1844,233,2077,Conversation log
34352,ChatGPT,98,33,131,Conversation log
34384,ChatGPT,436,31,467,Conversation log
34405,ChatGPT,30,294,324,Conversation log
34420,ChatGPT,55,34,89,Conversation log
34444,ChatGPT,16,199,215,Conversation log
34525,ChatGPT,704,331,1035,Conversation log
34534,ChatGPT,71,731,802,Conversation log
34542,ChatGPT,47,32,79,Conversation log
34560,ChatGPT,1298,630,1928,Conversation log
34601,GPT-4,15,115,130,Conversation log
34615,GPT-4,145,314,459,Conversation log
34680,GPT-4,477,297,774,Conversation log
34746,GPT-4,189,253,442,Conversation log
34758,ChatGPT,418,95,513,Conversation log
34770,GPT-4,585,26,611,Conversation log
34802,GPT-4,757,211,968,Conversation log
34818,ChatGPT,705,299,1004,Conversation log
34824,GPT-4,203,200,403,Conversation log
34832,ChatGPT,17,114,131,Conversation log
34868,ChatGPT,22,29,51,Conversation log
34876,ChatGPT,210,416,626,Conversation log
34890,GPT-4,978,197,1175,Conversation log
34896,GPT-4,188,181,369,Conversation log
34911,GPT-4,226,362,588,Conversation log
34919,ChatGPT,16,18,34,Conversation log
34928,ChatGPT,45,14,59,Conversation log
34943,GPT-4,163,19,182,Conversation log
34986,ChatGPT,1258,384,1642,Conversation log
34988,ChatGPT,1956,353,2309,Conversation log
34995,GPT-4,389,221,610,Conversation log
35016,ChatGPT,1046,395,1441,Conversation log
35056,ChatGPT,867,30,897,Conversation log
35087,ChatGPT,145,618,763,Conversation log
35096,GPT-4,603,339,942,Conversation log
35132,GPT-4,19,380,399,Conversation log
35134,ChatGPT,870,80,950,Conversation log
35138,ChatGPT,72,13,85,Conversation log
35142,ChatGPT,963,90,1053,Conversation log
35149,GPT-4,33,82,115,Conversation log
35156,GPT-4,342,231,573,Conversation log
35161,GPT-4,161,22,183,Conversation log
35168,GPT-4,419,385,804,Conversation log
35178,ChatGPT,244,149,393,Conversation log
35184,ChatGPT,66,36,102,Conversation log
35220,ChatGPT,162,14,176,Conversation log
35227,GPT-4,210,17,227,Conversation log
35235,ChatGPT,862,214,1076,Conversation log
35244,ChatGPT,263,17,280,Conversation log
35246,ChatGPT,168,35,203,Conversation log
35258,ChatGPT,1122,59,1181,Conversation log
35260,ChatGPT,1036,13,1049,Conversation log
35266,ChatGPT,353,15,368,Conversation log
35293,ChatGPT,354,342,696,Conversation log
35319,ChatGPT,302,887,1189,Conversation log
35369,ChatGPT,723,541,1264,Conversation log
35370,ChatGPT,1202,157,1359,Conversation log
35374,GPT-4,466,60,526,Conversation log
35403,ChatGPT,217,241,458,Conversation log
35410,ChatGPT,25,57,82,Conversation log
35415,ChatGPT,1360,702,2062,Conversation log
35426,ChatGPT,70,82,152,Conversation log
35429,ChatGPT,10,111,121,Conversation log
35453,ChatGPT,140,98,238,Conversation log
35459,ChatGPT,20,556,576,Conversation log
35520,ChatGPT,590,93,683,Conversation log
35541,ChatGPT,308,151,459,Conversation log
35576,GPT-4,58,26,84,Conversation log
35611,ChatGPT,35,12,47,Conversation log
35647,ChatGPT,74,19,93,Conversation log
35746,ChatGPT,15,38,53,Conversation log
35776,ChatGPT,396,333,729,Conversation log
35788,ChatGPT,247,506,753,Conversation log
35796,ChatGPT,757,356,1113,Conversation log
35816,GPT-4,45,32,77,Conversation log
35837,GPT-4,273,25,298,Conversation log
35861,ChatGPT,274,442,716,Conversation log
35876,ChatGPT,1130,812,1942,Conversation log
35894,GPT-4,820,26,846,Conversation log
35898,GPT-4,788,188,976,Conversation log
35921,ChatGPT,18,412,430,Conversation log
35954,ChatGPT,179,329,508,Conversation log
35975,ChatGPT,19,38,57,Conversation log
36021,ChatGPT,23,27,50,Conversation log
36025,ChatGPT,1286,16,1302,Conversation log
36043,ChatGPT,535,297,832,Conversation log
36055,ChatGPT,17,7,24,Conversation log
36069,ChatGPT,36,24,60,Conversation log
36074,ChatGPT,992,15,1007,Conversation log
36097,GPT-4,695,16,711,Conversation log
36114,ChatGPT,36,238,274,Conversation log
36116,GPT-4,146,299,445,Conversation log
36121,GPT-4,149,256,405,Conversation log
36165,ChatGPT,73,273,346,Conversation log
36173,GPT-4,985,74,1059,Conversation log
36195,ChatGPT,18,457,475,Conversation log
36246,GPT-4,1958,737,2695,Conversation log
36282,GPT-4,36,505,541,Conversation log
36286,ChatGPT,66,17,83,Conversation log
36308,ChatGPT,88,300,388,Conversation log
36309,ChatGPT,203,285,488,Conversation log
36343,ChatGPT,232,514,746,Conversation log
36352,GPT-4,74,404,478,Conversation log
36362,ChatGPT,537,249,786,Conversation log
36385,GPT-4,567,416,983,Conversation log
36435,ChatGPT,14,203,217,Conversation log
36447,GPT-4,995,454,1449,Conversation log
36471,ChatGPT,836,701,1537,Conversation log
36479,ChatGPT,81,999,1080,Conversation log
36516,ChatGPT,477,163,640,Conversation log
36591,ChatGPT,1098,721,1819,Conversation log
36607,GPT-4,29,2,31,Conversation log
36617,ChatGPT,24,14,38,Conversation log
36626,GPT-4,1475,485,1960,Conversation log
36638,GPT-4,1025,405,1430,Conversation log
36646,GPT-4,391,25,416,Conversation log
36647,ChatGPT,48,11,59,Conversation log
36660,ChatGPT,69,14,83,Conversation log
36665,ChatGPT,36,370,406,Conversation log
36673,GPT-4,347,147,494,Conversation log
36700,ChatGPT,1847,1362,3209,Conversation log
36701,GPT-4,510,599,1109,Conversation log
36716,ChatGPT,20,606,626,Conversation log
36738,ChatGPT,20,171,191,Conversation log
36789,ChatGPT,26,23,49,Conversation log
36791,ChatGPT,299,20,319,Conversation log
36804,GPT-4,1995,663,2658,Conversation log
36805,ChatGPT,59,31,90,Conversation log
36836,ChatGPT,1365,214,1579,Conversation log
36850,ChatGPT,1595,354,1949,Conversation log
36868,GPT-4,500,238,738,Conversation log
36883,ChatGPT,51,1442,1493,Conversation log
36915,GPT-4,2126,379,2505,Conversation log
36922,ChatGPT,33,81,114,Conversation log
36968,ChatGPT,79,59,138,Conversation log
36989,GPT-4,145,45,190,Conversation log
36990,ChatGPT,118,24,142,Conversation log
36993,ChatGPT,222,43,265,Conversation log
36997,ChatGPT,21,387,408,Conversation log
37000,GPT-4,752,280,1032,Conversation log
37006,ChatGPT,158,104,262,Conversation log
37008,ChatGPT,170,14,184,Conversation log
37053,ChatGPT,290,90,380,Conversation log
37081,ChatGPT,601,327,928,Conversation log
37106,GPT-4,29,213,242,Conversation log
37117,GPT-4,112,110,222,Conversation log
37140,ChatGPT,50,962,1012,Conversation log
37148,ChatGPT,733,311,1044,Conversation log
37178,ChatGPT,9,9,18,Conversation log
37182,ChatGPT,40,11,51,Conversation log
37183,GPT-4,41,552,593,Conversation log
37189,ChatGPT,1544,1421,2965,Conversation log
37198,GPT-4,28,231,259,Conversation log
37201,ChatGPT,24,443,467,Conversation log
37218,ChatGPT,657,1011,1668,Conversation log
37228,ChatGPT,60,46,106,Conversation log
37235,GPT-4,275,225,500,Conversation log
37255,ChatGPT,50,1143,1193,Conversation log
37272,GPT-4,251,23,274,Conversation log
37274,GPT-4,18,70,88,Conversation log
37274,ChatGPT,67,58,125,Conversation log
37277,GPT-4,281,239,520,Conversation log
37291,ChatGPT,1061,1161,2222,Conversation log
37314,ChatGPT,484,308,792,Conversation log
37316,ChatGPT,126,43,169,Conversation log
37337,ChatGPT,723,170,893,Conversation log
37340,ChatGPT,50,1265,1315,Conversation log
37342,ChatGPT,967,357,1324,Conversation log
37376,GPT-4,106,329,435,Conversation log
37378,ChatGPT,815,717,1532,Conversation log
37380,ChatGPT,301,28,329,Conversation log
37389,ChatGPT,1364,1331,2695,Conversation log
37408,GPT-4,449,192,641,Conversation log
37442,GPT-4,96,260,356,Conversation log
37454,ChatGPT,757,351,1108,Conversation log
37481,ChatGPT,1571,434,2005,Conversation log
37538,GPT-4,690,170,860,Conversation log
37548,ChatGPT,502,234,736,Conversation log
37573,ChatGPT,71,40,111,Conversation log
37676,ChatGPT,312,204,516,Conversation log
37785,ChatGPT,19,320,339,Conversation log
37788,ChatGPT,401,102,503,Conversation log
37806,GPT-4,248,53,301,Conversation log
37808,GPT-4,386,17,403,Conversation log
37825,ChatGPT,27,18,45,Conversation log
37831,GPT-4,749,344,1093,Conversation log
37844,ChatGPT,19,232,251,Conversation log
37847,ChatGPT,28,53,81,Conversation log
37868,GPT-4,27,209,236,Conversation log
37873,ChatGPT,79,62,141,Conversation log
37879,ChatGPT,36,513,549,Conversation log
37879,ChatGPT,268,32,300,Conversation log
37886,GPT-4,244,65,309,Conversation log
37914,GPT-4,91,63,154,Conversation log
37929,GPT-4,170,42,212,Conversation log
37982,GPT-4,258,171,429,Conversation log
37997,ChatGPT,40,2048,2088,Conversation log
38017,ChatGPT,989,206,1195,Conversation log
38019,GPT-4,536,236,772,Conversation log
38028,ChatGPT,580,56,636,Conversation log
38030,ChatGPT,815,433,1248,Conversation log
38041,GPT-4,359,22,381,Conversation log
38042,ChatGPT,35,452,487,Conversation log
38054,ChatGPT,524,716,1240,Conversation log
38062,ChatGPT,1275,694,1969,Conversation log
38069,GPT-4,472,213,685,Conversation log
38070,GPT-4,437,31,468,Conversation log
38073,ChatGPT,1130,519,1649,Conversation log
38074,GPT-4,19,307,326,Conversation log
38091,ChatGPT,1263,707,1970,Conversation log
38104,ChatGPT,13,68,81,Conversation log
38105,ChatGPT,374,827,1201,Conversation log
38114,ChatGPT,100,8,108,Conversation log
38151,GPT-4,338,71,409,Conversation log
38172,GPT-4,426,369,795,Conversation log
38179,ChatGPT,1965,516,2481,Conversation log
38215,ChatGPT,114,366,480,Conversation log
38235,GPT-4,517,27,544,Conversation log
38256,GPT-4,46,462,508,Conversation log
38269,ChatGPT,63,388,451,Conversation log
38309,ChatGPT,1299,267,1566,Conversation log
38318,ChatGPT,355,456,811,Conversation log
38321,GPT-4,1422,348,1770,Conversation log
38345,ChatGPT,492,536,1028,Conversation log
38354,GPT-4,599,112,711,Conversation log
38371,ChatGPT,1676,559,2235,Conversation log
38427,ChatGPT,72,15,87,Conversation log
38449,GPT-4,13,85,98,Conversation log
38457,ChatGPT,157,11,168,Conversation log
38467,ChatGPT,32,176,208,Conversation log
38479,ChatGPT,255,17,272,Conversation log
38492,ChatGPT,353,19,372,Conversation log
38501,ChatGPT,454,14,468,Conversation log
38513,ChatGPT,288,252,540,Conversation log
38515,GPT-4,668,473,1141,Conversation log
38525,ChatGPT,321,851,1172,Conversation log
38591,ChatGPT,516,647,1163,Conversation log
38600,GPT-4,22,242,264,Conversation log
38617,GPT-4,52,180,232,Conversation log
38620,ChatGPT,86,577,663,Conversation log
38649,ChatGPT,36,19,55,Conversation log
38680,GPT-4,86,411,497,Conversation log
38706,GPT-4,491,179,670,Conversation log
38720,ChatGPT,2016,182,2198,Conversation log
38722,GPT-4,10,85,95,Conversation log
38751,ChatGPT,1276,213,1489,Conversation log
38769,GPT-4,122,10,132,Conversation log
38793,ChatGPT,1042,20,1062,Conversation log
38798,GPT-4,68,427,495,Conversation log
38837,ChatGPT,1180,524,1704,Conversation log
38837,GPT-4,99,112,211,Conversation log
38916,ChatGPT,1711,220,1931,Conversation log
38918,GPT-4,37,558,595,Conversation log
38920,GPT-4,242,94,336,Conversation log
38928,GPT-4,169,18,187,Conversation log
38932,ChatGPT,1269,87,1356,Conversation log
38937,GPT-4,764,225,989,Conversation log
38958,GPT-4,384,231,615,Conversation log
38970,ChatGPT,1912,99,2011,Conversation log
38975,ChatGPT,47,600,647,Conversation log
38977,GPT-4,717,133,850,Conversation log
38989,GPT-4,81,420,501,Conversation log
39036,GPT-4,648,377,1025,Conversation log
39058,ChatGPT,1462,175,1637,Conversation log
39073,ChatGPT,150,331,481,Conversation log
39094,ChatGPT,1462,420,1882,Conversation log
39112,GPT-4,1069,366,1435,Conversation log
39143,ChatGPT,1030,461,1491,Conversation log
39148,ChatGPT,1450,483,1933,Conversation log
39169,ChatGPT,1317,191,1508,Conversation log
39179,ChatGPT,529,48,577,Conversation log
39183,ChatGPT,183,72,255,Conversation log
39207,ChatGPT,2039,571,2610,Conversation log
39223,ChatGPT,1286,444,1730,Conversation log
39248,ChatGPT,1382,288,1670,Conversation log
39262,ChatGPT,1387,131,1518,Conversation log
39268,GPT-4,550,394,944,Conversation log
39281,ChatGPT,21,16,37,Conversation log
39333,ChatGPT,361,721,1082,Conversation log
39377,ChatGPT,1278,477,1755,Conversation log
39439,GPT-4,328,8,336,Conversation log
39454,ChatGPT,16,105,121,Conversation log
39457,ChatGPT,1476,146,1622,Conversation log
39467,GPT-4,995,517,1512,Conversation log
39478,ChatGPT,139,224,363,Conversation log
39501,ChatGPT,13,357,370,Conversation log
39512,ChatGPT,59,81,140,Conversation log
39527,ChatGPT,387,475,862,Conversation log
39558,ChatGPT,21,109,130,Conversation log
39571,ChatGPT,132,68,200,Conversation log
39575,ChatGPT,12,260,272,Conversation log
39582,ChatGPT,500,556,1056,Conversation log
39606,ChatGPT,893,377,1270,Conversation log
39621,ChatGPT,79,31,110,Conversation log
39634,ChatGPT,119,48,167,Conversation log
39639,GPT-4,58,5,63,Conversation log
39650,GPT-4,117,5,122,Conversation log
39658,GPT-4,288,178,466,Conversation log
39658,ChatGPT,1590,556,2146,Conversation log
39677,ChatGPT,14,15,29,Conversation log
39686,ChatGPT,1308,624,1932,Conversation log
39687,ChatGPT,67,44,111,Conversation log
39694,GPT-4,137,162,299,Conversation log
39698,GPT-4,16,272,288,Conversation log
39725,GPT-4,15,104,119,Conversation log
39751,ChatGPT,1521,973,2494,Conversation log
39762,ChatGPT,1058,22,1080,Conversation log
39764,ChatGPT,194,177,371,Conversation log
39765,ChatGPT,18,239,257,Conversation log
39780,GPT-4,560,264,824,Conversation log
39795,GPT-4,10,64,74,Conversation log
39818,ChatGPT,1642,1046,2688,Conversation log
39847,GPT-4,224,294,518,Conversation log
39852,ChatGPT,212,97,309,Conversation log
39861,ChatGPT,1866,717,2583,Conversation log
39864,ChatGPT,155,200,355,Conversation log
39877,ChatGPT,247,216,463,Conversation log
39884,GPT-4,29,174,203,Conversation log
39903,GPT-4,654,49,703,Conversation log
39934,GPT-4,954,250,1204,Conversation log
39939,GPT-4,727,254,981,Conversation log
39967,ChatGPT,19,499,518,Conversation log
40021,ChatGPT,45,31,76,Conversation log
40031,ChatGPT,1770,194,1964,Conversation log
40049,GPT-4,301,133,434,Conversation log
40055,ChatGPT,76,442,518,Conversation log
40110,ChatGPT,1779,549,2328,Conversation log
40112,ChatGPT,478,726,1204,Conversation log
40166,ChatGPT,1925,323,2248,Conversation log
40170,ChatGPT,23,336,359,Conversation log
40183,ChatGPT,1532,335,1867,Conversation log
40185,ChatGPT,19,249,268,Conversation log
40207,ChatGPT,372,354,726,Conversation log
40255,ChatGPT,14,54,68,Conversation log
40274,ChatGPT,1472,234,1706,Conversation log
40279,ChatGPT,26,530,556,Conversation log
40303,ChatGPT,1421,520,1941,Conversation log
40314,GPT-4,945,79,1024,Conversation log
40336,ChatGPT,1486,257,1743,Conversation log
40337,GPT-4,773,367,1140,Conversation log
40361,ChatGPT,1260,268,1528,Conversation log
40417,ChatGPT,1215,185,1400,Conversation log
40422,ChatGPT,28,302,330,Conversation log
40454,ChatGPT,949,208,1157,Conversation log
40471,GPT-4,216,198,414,Conversation log
40477,ChatGPT,20,418,438,Conversation log
40503,ChatGPT,96,535,631,Conversation log
40545,ChatGPT,1509,344,1853,Conversation log
40558,GPT-4,359,380,739,Conversation log
40568,ChatGPT,22,696,718,Conversation log
40571,ChatGPT,1015,226,1241,Conversation log
40581,ChatGPT,898,429,1327,Conversation log
40586,ChatGPT,268,43,311,Conversation log
40615,ChatGPT,217,210,427,Conversation log
40634,ChatGPT,1144,309,1453,Conversation log
40635,ChatGPT,59,32,91,Conversation log
40636,ChatGPT,739,313,1052,Conversation log
40648,ChatGPT,1809,618,2427,Conversation log
40665,GPT-4,228,180,408,Conversation log
40674,ChatGPT,49,535,584,Conversation log
40681,ChatGPT,1559,303,1862,Conversation log
40716,ChatGPT,1866,563,2429,Conversation log
40833,GPT-4,151,34,185,Conversation log
40856,ChatGPT,272,184,456,Conversation log
40862,GPT-4,229,40,269,Conversation log
40870,ChatGPT,1413,312,1725,Conversation log
40882,ChatGPT,1052,212,1264,Conversation log
40884,ChatGPT,962,384,1346,Conversation log
40889,ChatGPT,1335,340,1675,Conversation log
40904,ChatGPT,19,411,430,Conversation log
40908,ChatGPT,461,250,711,Conversation log
40926,ChatGPT,138,41,179,Conversation log
40930,ChatGPT,149,17,166,Conversation log
40930,ChatGPT,821,245,1066,Conversation log
40953,ChatGPT,1708,695,2403,Conversation log
40958,ChatGPT,651,235,886,Conversation log
40966,ChatGPT,16,454,470,Conversation log
40996,ChatGPT,21,260,281,Conversation log
41016,ChatGPT,306,233,539,Conversation log
41035,ChatGPT,228,41,269,Conversation log
41045,ChatGPT,292,355,647,Conversation log
41046,ChatGPT,16,380,396,Conversation log
41073,ChatGPT,446,570,1016,Conversation log
41083,ChatGPT,1189,373,1562,Conversation log
41099,ChatGPT,1718,549,2267,Conversation log
41102,ChatGPT,1115,506,1621,Conversation log
41105,ChatGPT,1549,468,2017,Conversation log
41114,ChatGPT,932,147,1079,Conversation log
41119,GPT-4,2554,340,2894,Conversation log
41147,ChatGPT,29,509,538,Conversation log
41176,ChatGPT,164,111,275,Conversation log
41189,ChatGPT,44,78,122,Conversation log
41193,ChatGPT,1102,174,1276,Conversation log
41194,GPT-4,72,167,239,Conversation log
41198,ChatGPT,134,326,460,Conversation log
41208,ChatGPT,16,458,474,Conversation log
41212,GPT-4,767,279,1046,Conversation log
41217,ChatGPT,66,178,244,Conversation log
41219,ChatGPT,44,15,59,Conversation log
41231,ChatGPT,262,121,383,Conversation log
41239,GPT-4,263,57,320,Conversation log
